stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
ESTACION_7109,7109,CAD,4.6231563486389753,-74.084448494340748,1,,0
ESTACION_6103,6103,CAN,4.6470502749562037,-74.099203651904247,1,,0
ESTACION_7010,7010,Bosa,4.5968326934842132,-74.181266989237642,1,,0
ESTACION_4108,4108,Polo,4.6707257598248253,-74.064842777686863,1,,0
ESTACION_7009,7009,SENA,4.5973236909293318,-74.110770719386778,1,,0
ESTACION_9105,9105,Fucha,4.5828832581168264,-74.099563054236569,1,,0
ESTACION_9118,9118,Marly,4.6377299281133855,-74.0667773907653,1,,0
ESTACION_9103,9103,Olaya,4.5788315833862949,-74.107553272262209,1,,0
ESTACION_2201,2201,Prado,4.7145073966151507,-74.052613376824738,1,,0
ESTACION_9116,9116,AV. 39,4.6270624495416905,-74.06869256562652,1,,0
ESTACION_4103,4103,Ferias,4.690931927244649,-74.084660953618808,1,,0
ESTACION_9121,9121,Flores,4.654818049198628,-74.063092599609035,1,,0
ESTACION_8001,8001,Parque,4.5684427892569452,-74.135543982018334,1,,0
ESTACION_2302,2302,Virrey,4.6763868227764256,-74.0589584347993,1,,0
ESTACION_2200,2200,Alcalá,4.7214744360344758,-74.051443420634484,1,,0
ESTACION_4102,4102,Boyacá,4.6939350456625171,-74.087195423742656,1,,0
ESTACION_9107,9107,Hortúa,4.59075782144327,-74.090327459924239,1,,0
ESTACION_2304,2304,Héroes,4.6686713870791277,-74.060240582739567,1,,0
ESTACION_6001,6001,Modelia,4.6751503838702346,-74.117231950130943,1,,0
ESTACION_9001,9001,Molinos,4.5574204704869263,-74.121797075097618,1,,0
ESTACION_9106,9106,Nariño,4.58639355677205,-74.093844651983957,1,,0
ESTACION_7001,7001,Perdomo,4.5957845058730769,-74.164964469406087,1,,0
ESTACION_5105,5105,Pradera,4.6285040317390758,-74.118613532830537,1,,0
ESTACION_9101,9101,Quiroga,4.5768027896581884,-74.114385027051767,1,,0
ESTACION_9003,9003,Socorro,4.5646692001397824,-74.1255818233073,1,,0
ESTACION_7004,7004,Venecia,4.59555425962897,-74.142846283019963,1,,0
ESTACION_5100,5100,Banderas,4.6313262182784909,-74.145663262271839,1,,0
ESTACION_9111,9111,Calle 19,4.6078686001656051,-74.076882010352435,1,,0
ESTACION_9113,9113,Calle 22,4.6117908323433037,-74.074631215886214,1,,0
ESTACION_9114,9114,Calle 26,4.6168038731558392,-74.072158119531167,1,,0
ESTACION_9115,9115,Calle 34,4.6216270533894548,-74.069746716463172,1,,0
ESTACION_9117,9117,Calle 45,4.6316930640134446,-74.0678449532298,1,,0
ESTACION_9119,9119,Calle 57,4.6432721410050792,-74.065811756367253,1,,0
ESTACION_9120,9120,Calle 63,4.6477054968416871,-74.064995425124266,1,,0
ESTACION_9122,9122,Calle 72,4.658444160271852,-74.062061876515344,1,,0
ESTACION_9123,9123,Calle 76,4.6632296280299093,-74.061249134212929,1,,0
ESTACION_2303,2303,Calle 85,4.6715319362083383,-74.05980068259592,1,,0
ESTACION_9002,9002,Consuelo,4.5600931324899827,-74.1238384633273,1,,0
ESTACION_9108,9108,Hospital,4.5951980837505735,-74.086277836097977,1,,0
ESTACION_7002,7002,Madelena,4.5962804946730795,-74.156991232035708,1,,0
ESTACION_5101,5101,Mandalay,4.6308667531325538,-74.141408357338648,1,,0
ESTACION_5103,5103,Marsella,4.62968378877692,-74.130386434728109,1,,0
ESTACION_2103,2103,Mazurén,4.735388421338107,-74.049058286177484,1,,0
ESTACION_4001,4001,Quirigua,4.7067448100433733,-74.108842307996483,1,,0
ESTACION_9104,9104,Restrepo,4.5820086321450306,-74.101384644341863,1,,0
ESTACION_3013,3013,Rionegro,4.6803838092938008,-74.064814240011017,1,,0
ESTACION_2502,2502,Terminal,4.769015311169496,-74.043498308253518,1,,0
ESTACION_2101,2101,Toberín,4.7471252958330732,-74.047160259467759,1,,0
ESTACION_7103,7103,AV. Chile,4.666401654325675,-74.0746607178459,1,,0
ESTACION_6100,6100,AV. Rojas,4.6622214426953228,-74.108941036993713,1,,0
ESTACION_7005,7005,Alquería,4.5942648433539084,-74.134276059976486,1,,0
ESTACION_2300,2300,Calle 100,4.6845005035684784,-74.057665557560867,1,,0
ESTACION_2205,2205,Calle 106,4.69409013104167,-74.056011896564016,1,,0
ESTACION_2202,2202,Calle 127,4.7045017818536827,-74.05429053795072,1,,0
ESTACION_2105,2105,Calle 142,4.7268238015309674,-74.050545456988345,1,,0
ESTACION_2104,2104,Calle 146,4.7313812857526116,-74.049739515854284,1,,0
ESTACION_2102,2102,Calle 161,4.7421348575912656,-74.047948743876233,1,,0
ESTACION_2001,2001,Calle 187,4.763355906152074,-74.0444825956385,1,,0
ESTACION_7112,7112,Comuneros,4.6041988392046909,-74.099917587516686,1,,0
ESTACION_3004,3004,Gratamira,4.72768455134098,-74.074692901641882,1,,0
ESTACION_14005,14005,Las Aguas,4.6024597974558183,-74.06840019468946,1,,0
ESTACION_10004,10004,Policarpa,4.5864652400897512,-74.086802862941838,1,,0
ESTACION_4000,4000,Portal 80,4.7096654444814705,-74.110685541375176,1,,0
ESTACION_10008,10008,San Diego,4.611267124617954,-74.071256746092033,1,,0
ESTACION_7503,7503,San Mateo,4.5862440455491953,-74.204833046599646,1,,0
ESTACION_7003,7003,Sevillana,4.5951119441319594,-74.147501939292,1,,0
ESTACION_4104,4104,Avenida 68,4.6857796584558065,-74.080580176299293,1,,0
ESTACION_8002,8002,Biblioteca,4.5703670621481862,-74.130455592103218,1,,0
ESTACION_12001,12001,Carrera 43,4.622870275756001,-74.101540216163727,1,,0
ESTACION_4106,4106,Carrera 47,4.677963078270734,-74.073652671029564,1,,0
ESTACION_4105,4105,Carrera 53,4.6817655850522337,-74.077420834775936,1,,0
ESTACION_4002,4002,Carrera 90,4.7046692054725723,-74.104677928195414,1,,0
ESTACION_10007,10007,Las Nieves,4.6058410739431475,-74.074480512168847,1,,0
ESTACION_7505,7505,León XIII,4.59219950700325,-74.193156668533774,1,,0
ESTACION_6002,6002,Normandía,4.668815857864832,-74.113169701315059,1,,0
ESTACION_7110,7110,Paloquemao,4.6167525702308847,-74.089711869467152,1,,0
ESTACION_3003,3003,21 ángeles,4.7355704162269285,-74.08114655520761,1,,0
ESTACION_12002,12002,CDS  Cra 32,4.6160951267740051,-74.093961556554888,1,,0
ESTACION_10001,10001,Country Sur,4.5710742599761147,-74.09875915519828,1,,0
ESTACION_3001,3001,La Campiña,4.742625981096948,-74.091219558252362,1,,0
ESTACION_7506,7506,La Despensa,4.594580330797017,-74.188212188468043,1,,0
ESTACION_2204,2204,Pepe Sierra,4.6979938578227634,-74.055346772073747,1,,0
ESTACION_3000,3000,Portal Suba,4.7469927318125427,-74.094252353902,1,,0
ESTACION_90004,90004,Portal Usme,4.5318440992920745,-74.119447767353634,1,,0
ESTACION_3010,3010,Puentelargo,4.6935310406482404,-74.067195828530714,1,,0
